,name_nm,status_ky,last_upd_src_sys_ky,error_flag_in,participant_no,change_ind,date_of_birth,date_of_death,channelset_ky,talent_type_ky,preferred_flag,isni,language_ky
1,Elliot Cleverdon,R,1,,2086477,1,,,,1,N,,21
2,Dayo Moshood,R,1,,2086967,1,,,,1,N,,21
3,Louise Bouget,R,1,,2088047,1,,,,1,N,,23
4,Priyalal Saha,R,1,,2087233,1,,,,1,N,,21
5,Indigo,R,1,,2088167,1,,,,1,N,,21
6,TheBehz,R,1,,2087586,1,,,,1,N,,21
7,Southside,R,1,,1734440,1,,,,1,Y,,21
8,Anas,R,1,,1697979,1,,,,1,N,,21
9,Afgan,R,1,,997821,1,,,,1,N,,21
10,Gradur,R,1,,1417279,1,,,,1,N,,21
11,Luchè,R,1,,1461209,1,,,,1,N,,24
12,Lil Durk,R,1,,1344115,1,,,,1,Y,,21
13,Esther Geraldine,R,1,,2023623,1,,,,1,N,,21
14,Anas feat. Gradur,R,1,,2084238,1,,,,16,N,,22
15,Southside & Lil Durk,R,1,,2081304,1,,,,16,N,,21
16,Paky,R,1,,1868357,1,,,,1,N,,21
17,Ella Mai,R,1,,1635774,1,,,,1,N,,21
18,Afgan & Esther Geraldine,R,1,,2077871,1,,,,16,N,,21
19,Luchè feat. Paky,R,1,,2079592,1,,,,16,N,,21
20,A Boogie Wit Da Hoodie,R,1,,1679125,1,,,,1,Y,,21
21,Lil Durk feat. Ella Mai & A Boogie Wit Da Hoodie,R,1,,2079314,1,,,,16,Y,,21
22,Doums,R,1,,2043832,1,,,,1,N,,22
23,Laylow,R,1,,1786875,1,,,,1,N,,21
24,Doums feat. Laylow,R,1,,2082277,1,,,,16,N,,21
